video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
rk1JTZim41g,0,0.0,12.0,12.0,"Thưa quý vị, sự cố sạt lở ở công trình Thủy điện Giao Trang 3, thuộc địa bàn huyện Phong Điền của tỉnh Thứ Thiên Huế đang thu hút sự chú ý, chia sẻ của cộng đồng, lo lắng cho tính mạng của những công nhân đang ở khu vực sạt lở.","Thưa quý vị, sự cố sạt lở tại công trình Thủy điện Giao Trang 3, thuộc huyện Phong Điền, tỉnh Thừa Thiên Huế, đang thu hút sự quan tâm của cộng đồng, lo lắng cho tính mạng của những công nhân đang có mặt tại khu vực sạt lở.","Thưa quý vị, sự cố sạt lở tại công trình Thủy điện Giao Trang 3, thuộc huyện Phong Điền, tỉnh Thừa Thiên Huế, đang thu hút sự quan tâm của cộng đồng, lo lắng cho tính mạng của những công nhân đang có mặt tại khu vực sạt lở.",OK,HIGH
rk1JTZim41g,1,12.0,17.0,5.0,"Do thời tiết diễn biến phức tạp, ngập lụt và sạt lở lớn làm cho công tác cứu hộ đang gặp nhiều khó khăn.","Do thời tiết diễn biến phức tạp, tình trạng ngập lụt và sạt lở lớn đã khiến công tác cứu hộ gặp nhiều khó khăn.","Do thời tiết diễn biến phức tạp, tình trạng ngập lụt và sạt lở lớn đã khiến công tác cứu hộ gặp nhiều khó khăn.",OK,HIGH
rk1JTZim41g,2,17.0,39.0,22.0,"Sát minh ban đầu ở thôn Hiền An Bến Cũi, xã Phong Xuân, có 3 người là công nhân và lái xe của công ty thành đạt","Theo thông tin ban đầu, tại thôn Hiền An Bến Cũi, xã Phong Xuân, có 3 người, bao gồm công nhân và lái xe của công ty Thành Đạt thi công công trình Thủy điện Giao Trang 3, đã mất liên lạc từ ngày 9 tháng 10.","Sát minh ban đầu ở thôn Hiền An Bến Cũi, xã Phong Xuân, có 3 người là công nhân và lái xe của công ty thành đạt",REVERT,LOW
rk1JTZim41g,3,39.0,45.0,6.0,"thi công công trình Thủy điện Giao Trang 3 đã mất liên lạc từ ngày 9 tháng 10, trong đó có người con trai của ông Nguyễn Đình Đức.","Ba công nhân và lái xe thi công công trình Thủy điện Giao Trang 3, thuộc huyện Phong Điền, tỉnh Thừa Thiên Huế, đã mất liên lạc từ ngày 9 tháng 10, trong đó có người con trai của ông Nguyễn Đình Đức.","thi công công trình Thủy điện Giao Trang 3 đã mất liên lạc từ ngày 9 tháng 10, trong đó có người con trai của ông Nguyễn Đình Đức.",REVERT,HIGH
rk1JTZim41g,4,46.0,54.0,8.0,"Từ hồi tuổi thứ 6 là có liên lạc, là bắt đầu đi, đến giờ là không có liên lạc.","Từ khi 6 tuổi, tôi đã có liên lạc, nhưng đến giờ thì không còn liên lạc nữa.","Từ khi 6 tuổi, tôi đã có liên lạc, nhưng đến giờ thì không còn liên lạc nữa.",OK,HIGH
rk1JTZim41g,5,55.0,64.0,9.0,"Từ tối qua đến chiều nay, các phương tiện và lực lượng cứu hộ của quân khu 4, Bộ Chỉ huy quân sự và Công an tỉnh Thứ Thiên Huế khẩn trương tập kết","Từ tối qua đến chiều nay, các phương tiện và lực lượng cứu hộ của Quân khu 4, Bộ Chỉ huy Quân sự và Công an tỉnh Thừa Thiên Huế đã khẩn trương tập kết và tham gia tiếp cận địa điểm sạt lở trên tuyến đường dẫn vào khu vực Thủy điện Giao Trang 3, trong bối cảnh công tác cứu hộ đang được gấp rút triển khai.","Từ tối qua đến chiều nay, các phương tiện và lực lượng cứu hộ của quân khu 4, Bộ Chỉ huy quân sự và Công an tỉnh Thứ Thiên Huế khẩn trương tập kết",REVERT,HIGH
rk1JTZim41g,6,64.0,71.0,7.0,"và tham gia tiếp cận địa điểm sạt lở trên tuyến đường dẫn vào khu vực Thủy điện Giao Trang 3, công tác cứu hộ đang được gấp rút triển khai.","Các phương tiện và lực lượng cứu hộ của Quân khu 4, Bộ Chỉ huy quân sự và Công an tỉnh Thừa Thiên Huế đã khẩn trương tập kết và tiếp cận địa điểm sạt lở trên tuyến đường dẫn vào khu vực Thủy điện Giao Trang 3, trong bối cảnh công tác cứu hộ đang được gấp rút triển khai.","và tham gia tiếp cận địa điểm sạt lở trên tuyến đường dẫn vào khu vực Thủy điện Giao Trang 3, công tác cứu hộ đang được gấp rút triển khai.",REVERT,HIGH
rk1JTZim41g,7,76.0,84.0,8.0,"Chiều nay, Phó Thủ tướng Trịnh Đình Dũng, trường ban chỉ đạo Trung ương về phòng chống thiên tai đã có mặt tại tỉnh Thứ Thiên Huế","Chiều nay, Phó Thủ tướng Trịnh Đình Dũng, Trưởng ban Chỉ đạo Trung ương về phòng chống thiên tai, đã có mặt tại tỉnh Thừa Thiên Huế để kiểm tra tình hình mưa lũ và công tác cứu hộ tại Thủy điện Giao Trang 3.","Chiều nay, Phó Thủ tướng Trịnh Đình Dũng, trường ban chỉ đạo Trung ương về phòng chống thiên tai đã có mặt tại tỉnh Thứ Thiên Huế",REVERT,LOW
rk1JTZim41g,8,84.0,89.0,5.0,"để kiểm tra tình hình mưa lũ và công tác cứu hộ cứu nạn ở Thủy điện Giao Trang 3, chạm kiểm lâm số 7.","Chiều nay, Phó Thủ tướng Trịnh Đình Dũng đã có mặt tại tỉnh Thừa Thiên Huế để kiểm tra tình hình mưa lũ và công tác cứu hộ cứu nạn tại Thủy điện Giao Trang 3, chạm kiểm lâm số 7.","để kiểm tra tình hình mưa lũ và công tác cứu hộ cứu nạn ở Thủy điện Giao Trang 3, chạm kiểm lâm số 7.",REVERT,LOW
rk1JTZim41g,9,89.0,94.0,5.0,Chủ tịch UBND tỉnh Thứ Thiên Huế báo cáo hiện nay vẫn chưa liên lạc được với nhóm công nhân Thủy điện và nhóm ưng cứu.,Chủ tịch UBND tỉnh Thừa Thiên Huế cho biết hiện nay vẫn chưa liên lạc được với nhóm công nhân Thủy điện và nhóm cứu hộ.,Chủ tịch UBND tỉnh Thừa Thiên Huế cho biết hiện nay vẫn chưa liên lạc được với nhóm công nhân Thủy điện và nhóm cứu hộ.,OK,HIGH
rk1JTZim41g,10,94.0,99.0,5.0,Công tác cứu hộ cứu nạn gặp nhiều khó khăn do điều kiện thời tiết và khối lượng đất đá sạt lở rất lớn.,Công tác cứu hộ cứu nạn đang gặp nhiều khó khăn do điều kiện thời tiết phức tạp và khối lượng đất đá sạt lở rất lớn.,Công tác cứu hộ cứu nạn đang gặp nhiều khó khăn do điều kiện thời tiết phức tạp và khối lượng đất đá sạt lở rất lớn.,OK,HIGH
rk1JTZim41g,11,99.0,103.0,4.0,Bộ đội công binh đang dùng mọi phương tiện để mở đường vào khu vực nhà máy Thủy điện.,Bộ đội công binh đang sử dụng mọi phương tiện để mở đường vào khu vực nhà máy Thủy điện Giao Trang 3.,Bộ đội công binh đang dùng mọi phương tiện để mở đường vào khu vực nhà máy Thủy điện.,REVERT,HIGH
rk1JTZim41g,12,103.0,106.0,3.0,Hiện các lực lượng còn cách hiện trường vụ sạt lở khoảng 2km.,Hiện các lực lượng cứu hộ còn cách hiện trường vụ sạt lở khoảng 2 km.,Hiện các lực lượng cứu hộ còn cách hiện trường vụ sạt lở khoảng 2 km.,OK,HIGH
rk1JTZim41g,13,106.0,111.0,5.0,Tỉnh Thứ Thiên Huế kiến nghị Bộ Quốc phòng 2 máy bay trực thăng để ưng cứu trong trường hợp khẩn cấp.,Tỉnh Thừa Thiên Huế đã kiến nghị Bộ Quốc phòng hỗ trợ 2 máy bay trực thăng để cứu hộ trong trường hợp khẩn cấp.,Tỉnh Thừa Thiên Huế đã kiến nghị Bộ Quốc phòng hỗ trợ 2 máy bay trực thăng để cứu hộ trong trường hợp khẩn cấp.,OK,HIGH
rk1JTZim41g,14,111.0,114.0,3.0,"Phó Thủ tướng Trịnh Đình Dũng cho rằng tình hình trước mắt rất nguy cấp,","Phó Thủ tướng Trịnh Đình Dũng nhận định tình hình hiện tại rất nguy cấp và yêu cầu huy động tối đa lực lượng, trang thiết bị để tổ chức cứu hộ nhanh chóng cho các nạn nhân bị vùi lấp và mất liên lạc.","Phó Thủ tướng Trịnh Đình Dũng cho rằng tình hình trước mắt rất nguy cấp,",REVERT,HIGH
rk1JTZim41g,15,114.0,118.0,4.0,"cần phải huy động tối đa lực lượng, trang thiết bị để tổ chức ưng cứu một cách nhanh nhất",Cần huy động tối đa lực lượng và trang thiết bị để tổ chức cứu hộ một cách nhanh nhất.,Cần huy động tối đa lực lượng và trang thiết bị để tổ chức cứu hộ một cách nhanh nhất.,OK,HIGH
rk1JTZim41g,16,118.0,120.0,2.0,"các nạn nhân bị vùi lấp, mất liên lạc.",Các nạn nhân bị vùi lấp và mất liên lạc trong sự cố sạt lở tại công trình Thủy điện Giao Trang 3.,"các nạn nhân bị vùi lấp, mất liên lạc.",REVERT,LOW
rk1JTZim41g,17,120.0,123.0,3.0,"Phó Thủ tướng trị đạo các lực lượng phải dốc toàn lực,","Phó Thủ tướng Trịnh Đình Dũng chỉ đạo các lực lượng phải dốc toàn lực, huy động tối đa thiết bị và phương tiện để nhanh chóng triển khai công tác cứu hộ.","Phó Thủ tướng trị đạo các lực lượng phải dốc toàn lực,",REVERT,LOW
rk1JTZim41g,18,123.0,126.0,3.0,"huy động tối đa thiết bị, phương tiện để đẩy nhanh công tác cứu hộ.",Phó Thủ tướng Trịnh Đình Dũng chỉ đạo huy động tối đa lực lượng và phương tiện để đẩy nhanh công tác cứu hộ.,"huy động tối đa thiết bị, phương tiện để đẩy nhanh công tác cứu hộ.",REVERT,HIGH
