id,start,end,duration,text_len,text,video_id
0,0.0,3.5799999237060547,3.5799999237060547,83,Còn tiếp theo sẽ là những thông tin dự báo thời tiết mà rất nhiều khán giả quan tâm,mZEezOShQQ8
1,3.5799999237060547,6.599999904632568,3.0199999809265137,49,Đó là những thông tin dự báo về mùa đông năm 2021,mZEezOShQQ8
2,6.920000076293945,10.5,3.5799999237060547,98,Và người sẽ mang tới cho chúng ta những thông tin dự báo này là biên tập viên thời tiết Hương Liên,mZEezOShQQ8
3,10.760000228881836,11.520000457763672,0.7600002288818359,19,Chào chị Hương Liên,mZEezOShQQ8
4,11.779999732971191,14.079999923706055,2.3000001907348633,66,Có lẽ người ta nói rằng mùa thu năm nay có lẽ là mùa thu ngắn ngủi,mZEezOShQQ8
5,14.34000015258789,15.359999656677246,1.0199995040893555,23,Khi mà tháng 10 vừa tới,mZEezOShQQ8
6,15.619999885559082,17.15999984741211,1.5399999618530273,29,Thì những ngày thu đã qua rồi,mZEezOShQQ8
7,17.15999984741211,19.719999313354492,2.559999465942383,70,Và người dân được cảm nhận rằng dương như cái lạnh của mùa đông đã đến,mZEezOShQQ8
8,19.719999313354492,22.280000686645508,2.5600013732910156,71,Và không biết rằng là chúng ta đã đón mùa đông chính thức chưa chị Liên,mZEezOShQQ8
9,22.780000686645508,25.34000015258789,2.559999465942383,64,Vâng không chỉ riêng anh Dương đâu mà nhiều người cũng thấy rằng,mZEezOShQQ8
10,25.559999465942383,26.579999923706055,1.0200004577636719,26,Chưa cảm nhận được mùa thu,mZEezOShQQ8
11,26.84000015258789,28.100000381469727,1.260000228881836,20,Thì đã sang đông rồi,mZEezOShQQ8
12,28.6200008392334,34.7599983215332,6.139997482299805,116,Thưa quý vị khán giả thông thường thì phải tháng 11 tháng 12 mới bắt đầu có những đợt không khí lạnh mạnh tràn xuống,mZEezOShQQ8
13,34.7599983215332,35.2599983215332,0.5,17,Làm giảm nhiệt rõ,mZEezOShQQ8
14,35.779998779296875,40.599998474121094,4.819999694824219,85,Thế nhưng năm nay tháng 10 mà đã có 2 đợt không khí lạnh liên tiếp tràn xuống nước ta,mZEezOShQQ8
15,40.86000061035156,41.63999938964844,0.779998779296875,12,Vào các ngày,mZEezOShQQ8
16,41.900001525878906,43.68000030517578,1.779998779296875,18,13 đến 19 tháng 10,mZEezOShQQ8
17,43.939998626708984,46.2400016784668,2.3000030517578125,25,Và 21 22 tháng 10 vừa qua,mZEezOShQQ8
18,46.7400016784668,48.279998779296875,1.5399971008300781,32,Những đợt không khí lạnh đầu mùa,mZEezOShQQ8
19,48.540000915527344,50.58000183105469,2.0400009155273438,47,Thường chỉ khiến nhiệt độ giảm xuống mức mát mẻ,mZEezOShQQ8
20,51.099998474121094,52.900001525878906,1.8000030517578125,42,Thế nhưng năm nay trở lại chuyển lạnh ngay,mZEezOShQQ8
21,53.400001525878906,54.939998626708984,1.5399971008300781,25,Thậm chí ngày 18 tháng 10,mZEezOShQQ8
22,55.060001373291016,56.84000015258789,1.779998779296875,37,Miền Bắc đã chuyển dết trên diện rộng,mZEezOShQQ8
