path,text,quality_level,content_label,thesis_score
v000/v000_c000.mp4,Mưa lớn đã quay trở lại với khu vực miền trung rồi và nguy cơ sạt lở vẫn tiếp tục diễn ra.,HIGH,WEATHER_CORE,85
v000/v000_c005.mp4,"Thưa quý vị, ngay từ tối nay đến sáng mai thôi thì có thể là xuất hiện một số huyện miền núi cần chú ý đến sạt lở đất.",MEDIUM,WEATHER_SUPPORT,60
v000/v000_c010.mp4,"Nếu phát hiện xung quanh nhà có vết lứt, vết lún hoặc nước trên sông suối đục, bà con cần sơ tán ngay lập tức.",HIGH,WEATHER_CORE,85
v000/v000_c011.mp4,"Ngoài sạt lở, ngập lụt ở những vùng trũng thấp cũng đang gia tăng nhanh chóng và mở rộng khi lũ trên các sông dâng cao.",HIGH,WEATHER_CORE,85
v000/v000_c012.mp4,"Tối nay, mực nước lũ trên sông Thạch Hãn qua Quảng Trị dự báo có thể vượt mức báo động 3 tới hơn 1 mét.",HIGH,WEATHER_CORE,95
v000/v000_c013.mp4,"Sông Bồ, sông Hương ở Thừa Thiên Huế và sông Vu Da ở Quảng Nam hiện đang vượt mức báo động 3 từ 20cm đến 30cm.",HIGH,WEATHER_CORE,90
v000/v000_c014.mp4,Ngập lụt và sạt lở sẽ gia tăng do mưa có thể tiếp diễn trong đêm nay và kéo dài đến hết ngày 21 tháng 10.,HIGH,WEATHER_CORE,90
v000/v000_c015.mp4,"Trọng tâm mưa lớn nhất sẽ nằm tại Hà Tĩnh, Quảng Bình và Quảng Trị với tổng lượng mưa phổ biến là từ 400 đến 600mm,",HIGH,WEATHER_CORE,95
v000/v000_c017.mp4,"Tại Nghệ An và Thừa Thiên Huế, lượng mưa ghi nhận dao động từ 200 đến 350mm, với một số nơi có thể vượt quá 400mm.",HIGH,WEATHER_CORE,95
v000/v000_c018.mp4,"Bây giờ, chúng ta sẽ chuyển sang dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.",HIGH,WEATHER_SUPPORT,60
v000/v000_c019.mp4,"Thành phố Huế đêm nay có mưa to đến rất to, với nguy cơ ngập lụt trên diện rộng.",HIGH,WEATHER_CORE,95
v000/v000_c020.mp4,"Mưa ngập sẽ tiếp diễn đến ngày mai, với nhiệt độ dự báo không vượt quá 26 độ.",HIGH,WEATHER_CORE,85
v000/v000_c021.mp4,"Đà Lạt đêm nay có khả năng xuất hiện mưa với lượng khá, trời lạnh với nhiệt độ khoảng 17 độ.",HIGH,WEATHER_CORE,90
v000/v000_c022.mp4,"Ngày mai, mưa sẽ rồn rập về chiều, với nhiệt độ cao nhất đạt 21 độ.",HIGH,WEATHER_CORE,85
v000/v000_c023.mp4,"Thủ đô Hà Nội đêm nay có lúc có mưa nhỏ, khiến cảm giác lạnh gia tăng, với nhiệt độ khoảng 20 độ.",HIGH,WEATHER_CORE,90
v000/v000_c024.mp4,"Ngày mai, trời nhiều mây, vẫn khá lạnh, nhiệt độ không vượt quá 24 độ.",HIGH,WEATHER_CORE,85
v001/v001_c000.mp4,"Ngay bây giờ sẽ là diễn biến về bão số 10, mặc dù là đã suy yếu đáng kể sau khi vào Biển Đông,",MEDIUM,WEATHER_CORE,70
v001/v001_c002.mp4,"Trong 24 giờ tới, dự báo là bão sẽ di chuyển từ 15 đến 20 km một giờ theo hướng Tây,",HIGH,WEATHER_CORE,90
v001/v001_c004.mp4,Về cường độ thì trong ngày hôm nay sẽ duy trì khoảng cấp 8.,MEDIUM,WEATHER_CORE,70
v001/v001_c005.mp4,"Khi đi đến khu vực phía Tây Nam của huyện đảo Hoàng Sa là ngày 4 tháng 11, bão có thể mạnh lên cấp 9,",MEDIUM,WEATHER_CORE,75
v001/v001_c007.mp4,Dự báo là bão sẽ gây ra một đợt mưa lớn cho các tỉnh thành Trung Bộ và Bắc Tây Nguyên,HIGH,WEATHER_CORE,85
v001/v001_c008.mp4,"từ ngày 4 đến ngày 7 tháng 11, với lượng mưa từ 100 đến 400 mm.",HIGH,WEATHER_CORE,90
v001/v001_c010.mp4,siêu bão Goni đã làm ít nhất 10 người thiệt mạng và 3 người mất tích.,HIGH,WEATHER_CORE,85
v001/v001_c015.mp4,"Ở vùng Bikol thì nước ở các con sông đang dâng cao, gây vỡ đê,",MEDIUM,WEATHER_CORE,70
v001/v001_c028.mp4,Hôm nay thời tiết tại khu vực Rào Trăng 3 của tỉnh Thừa Thiên Huế tiếp tục có nắng,HIGH,WEATHER_CORE,90
v001/v001_c043.mp4,Công tác cứu hộ cũng đang được khẩn trương tiến hành trước khi mà bão số 10 tiến vào.,MEDIUM,WEATHER_CORE,60
v002/v002_c000.mp4,Bão và lũ liên tiếp đã gây ra nhiều mất mát và đau thương cho người dân miền Trung từ tháng 10 đến nay.,HIGH,WEATHER_CORE,85
v002/v002_c003.mp4,Mùa mưa bão ở miền Trung bắt đầu dồn dập từ ngày 6 tháng 10.,HIGH,WEATHER_CORE,90
v002/v002_c015.mp4,"Dù chỉ còn là một vùng thấp, nhưng nó vẫn gây ra đợt mưa lũ nặng nề cho khu vực Quảng Nam, Quảng Ngãi và Bình Định.",HIGH,WEATHER_CORE,85
v002/v002_c017.mp4,Còn về cơn bão số 11 thì đến chiều nay đã suy yếu thành áp thấp nhiệt đới,HIGH,WEATHER_CORE,85
v002/v002_c019.mp4,"Hiện nay, ngoài khơi Philippines đang hình thành một cơn bão.",HIGH,WEATHER_CORE,85
v002/v002_c020.mp4,"Khoảng ngày mai, cơn bão này sẽ đi vào khu vực Biển Đông và trở thành cơn bão số 12.",HIGH,WEATHER_CORE,90
v002/v002_c022.mp4,Cơn bão mới sẽ gây ra thời tiết xấu trên khu vực Biển Đông và đồng thời khiến mưa lũ liên tiếp xảy ra ở miền Trung.,HIGH,WEATHER_CORE,90
v002/v002_c023.mp4,Trung tâm sự báo ký tượng Thủy văn Quốc gia đã phát tin cảnh báo sớm cho đợt mưa lũ mới,HIGH,WEATHER_CORE,85
v002/v002_c046.mp4,"Và đến trưa và chiều mai thì khả năng là mưa sẽ rứt hẳn, trời sẽ có thể chuyển nắng",HIGH,WEATHER_CORE,85
v002/v002_c048.mp4,"Thời tiết đã tạnh, nước ngập ở Quảng Nam, Quảng Ngãi và Bình Định cũng đang dần rút.",HIGH,WEATHER_CORE,85
v002/v002_c051.mp4,"Cuối cùng, chúng tôi xin gửi đến quý vị dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.",HIGH,WEATHER_SUPPORT,60
v002/v002_c053.mp4,"Dự báo là nhiệt độ thấp nhất đêm nay là 22 độ, nhiệt độ cao nhất không vượt quá 28 độ.",HIGH,WEATHER_CORE,90
v002/v002_c054.mp4,"Thành phố Hồ Chí Minh đêm nay ít mưa, nhiệt độ khoảng 25 độ.",HIGH,WEATHER_CORE,85
