clip_id,original_video_id,text_refined,text_final,review_decision,quality_level,content_label,thesis_score
v000_c000,-QcoL_fU-WE,Mưa lớn đã quay trở lại khu vực miền Trung và nguy cơ sạt lở vẫn tiếp tục gia tăng.,Mưa lớn đã quay trở lại với khu vực miền trung rồi và nguy cơ sạt lở vẫn tiếp tục diễn ra.,REVERT,HIGH,WEATHER_CORE,85
v000_c001,-QcoL_fU-WE,"Những khu vực có nguy cơ xảy ra sạt lở lớn nhất hiện nay là từ Hà Tĩnh đến Quảng Nam, đặc biệt là tại các huyện miền núi của Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế, nơi có từ 4 đến 6 huyện có nguy cơ cao, trong khi Quảng Nam có tới 9 huyện nằm trong vùng có nguy cơ sạt lở.",Vậy đâu là những khu vực có thể xảy ra sạt lở lớn nhất ạ?,REVERT,LOW,NON_WEATHER,10
v000_c002,-QcoL_fU-WE,"Những khu vực có nguy cơ xảy ra sạt lở lớn nhất lại trùng với những nơi vừa trải qua mưa lũ trước đó, đó là từ Hà Tĩnh đến Quảng Nam.","Vâng ạ, những nơi có nguy cơ sảy ra sạt lở lớn nhất thì lại chùng với những nơi mà vừa xảy ra mưa lũ đợt trước ạ.",REVERT,LOW,WEATHER_CORE,40
v000_c003,-QcoL_fU-WE,Nguy cơ sạt lở lớn nhất tập trung từ Hà Tĩnh đến Quảng Nam.,Đó là từ Hà Tĩnh đến Quảng Nam.,REVERT,LOW,NON_WEATHER,10
v000_c004,-QcoL_fU-WE,"Ngay bây giờ, tôi sẽ cập nhật đến Anh Dương và quý vị khán giả về những khu vực có nguy cơ sạt lở cao.",Và cụ thể là những nơi nào có nguy cơ sảy ra sạt lở cao thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,REVERT,LOW,WEATHER_SUPPORT,30
v000_c005,-QcoL_fU-WE,"Thưa quý vị, ngay từ tối nay đến sáng mai, một số huyện miền núi tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế cần chú ý đến nguy cơ sạt lở đất.","Thưa quý vị, ngay từ tối nay đến sáng mai thôi thì có thể là xuất hiện một số huyện miền núi cần chú ý đến sạt lở đất.",REVERT,MEDIUM,WEATHER_SUPPORT,60
v000_c006,-QcoL_fU-WE,"Nguy cơ sạt lở đất cao đang hiện hữu tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế.","Đó là tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế.",REVERT,LOW,NON_WEATHER,10
v000_c007,-QcoL_fU-WE,Mỗi tỉnh từ Hà Tĩnh đến Quảng Nam có từ 4 đến 6 huyện có nguy cơ sạt lở cao.,Mỗi tỉnh thì có từ 4 đến 6 huyện thì sẽ có nguy cơ cao.,REVERT,LOW,NON_WEATHER,10
v000_c008,-QcoL_fU-WE,"Tại Quảng Nam, có đến 9 huyện nằm trong vùng có nguy cơ sạt lở cao.","Tại Quảng Nam, có tới 9 huyện nằm trong vùng có nguy cơ sạt lở cao.",REVERT,LOW,WEATHER_CORE,30
v000_c009,-QcoL_fU-WE,Sạt lở trong đêm là rất nguy hiểm.,Sạt lở trong đêm thì cực kỳ nguy hiểm.,REVERT,LOW,NON_WEATHER,0
v000_c010,-QcoL_fU-WE,"Nếu phát hiện xung quanh nhà có vết lứt, vết lún hoặc nước trên sông suối đục, bà con cần sơ tán ngay lập tức.","Nếu phát hiện xung quanh nhà có vết lứt, vết lún hoặc nước trên sông suối đục, bà con cần sơ tán ngay lập tức.",OK,HIGH,WEATHER_CORE,85
v000_c011,-QcoL_fU-WE,"Ngoài sạt lở, ngập lụt ở các vùng trũng thấp cũng đang gia tăng nhanh chóng và mở rộng do lũ trên các sông dâng cao.","Ngoài sạt lở, ngập lụt ở những vùng trũng thấp cũng đang gia tăng nhanh chóng và mở rộng khi lũ trên các sông dâng cao.",REVERT,HIGH,WEATHER_CORE,85
v000_c012,-QcoL_fU-WE,"Tối nay, mực nước lũ trên sông Thạch Hãn qua Quảng Trị dự báo có thể vượt mức báo động 3 hơn 1 mét.","Tối nay, mực nước lũ trên sông Thạch Hãn qua Quảng Trị dự báo có thể vượt mức báo động 3 tới hơn 1 mét.",REVERT,HIGH,WEATHER_CORE,95
v000_c013,-QcoL_fU-WE,"Sông Bồ, sông Hương ở Thừa Thiên Huế và sông Vu Da ở Quảng Nam hiện đang vượt mức báo động 3 từ 20 đến 30 cm.","Sông Bồ, sông Hương ở Thừa Thiên Huế và sông Vu Da ở Quảng Nam hiện đang vượt mức báo động 3 từ 20cm đến 30cm.",REVERT,HIGH,WEATHER_CORE,90
v000_c014,-QcoL_fU-WE,Ngập lụt và sạt lở sẽ gia tăng do mưa có thể tiếp diễn trong đêm nay và kéo dài đến hết ngày 21 tháng 10.,Ngập lụt và sạt lở sẽ gia tăng do mưa có thể tiếp diễn trong đêm nay và kéo dài đến hết ngày 21 tháng 10.,OK,HIGH,WEATHER_CORE,90
v000_c015,-QcoL_fU-WE,"Trọng tâm mưa lớn nhất sẽ tập trung tại Hà Tĩnh, Quảng Bình và Quảng Trị, với tổng lượng mưa phổ biến từ 400 đến 600mm, thậm chí có nơi đo được trên 700mm.","Trọng tâm mưa lớn nhất sẽ nằm tại Hà Tĩnh, Quảng Bình và Quảng Trị với tổng lượng mưa phổ biến là từ 400 đến 600mm,",REVERT,HIGH,WEATHER_CORE,95
v000_c016,-QcoL_fU-WE,"Thậm chí, có những nơi lượng mưa đo được đã vượt quá 700mm.","Thậm chí, có những nơi lượng mưa đo được trên 700mm.",REVERT,LOW,WEATHER_CORE,40
v000_c017,-QcoL_fU-WE,"Tại Nghệ An và Thừa Thiên Huế, lượng mưa ghi nhận dao động từ 200 đến 350mm, và một số nơi có thể vượt quá 400mm.","Tại Nghệ An và Thừa Thiên Huế, lượng mưa ghi nhận dao động từ 200 đến 350mm, với một số nơi có thể vượt quá 400mm.",REVERT,HIGH,WEATHER_CORE,95
v000_c018,-QcoL_fU-WE,"Bây giờ, chúng ta sẽ chuyển sang dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.","Bây giờ, chúng ta sẽ chuyển sang dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.",OK,HIGH,WEATHER_SUPPORT,60
v000_c019,-QcoL_fU-WE,"Thành phố Huế đêm nay có mưa to đến rất to, với nguy cơ ngập lụt trên diện rộng, và tình trạng ngập lụt sẽ tiếp diễn đến ngày mai, với nhiệt độ dự báo không vượt quá 26 độ.","Thành phố Huế đêm nay có mưa to đến rất to, với nguy cơ ngập lụt trên diện rộng.",REVERT,HIGH,WEATHER_CORE,95
